genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,runtime,budget_est,revenue,imdb_id,req_title,production_companies
"[10749, 18, 53, 80]",43539,en,The Next Three Days,11.147,2010-11-19,The Next Three Days,7.0,1469,133.0,30000000.0,51148651.0,tt1458175,0.0,"['Hwy61', 'Lionsgate', 'Fidélité Films']"
"[16, 10751, 10770]",50393,en,Kung Fu Panda Holiday,11.083,2010-11-26,Kung Fu Panda Holiday,6.6,110,21.0,0.0,0.0,tt1702433,0.0,['DreamWorks Animation']
"[18, 53, 9648]",26388,en,Buried,10.888,2010-09-24,Buried,6.6,1487,94.0,1987650.0,19152480.0,tt1462758,0.0,"['Versus Entertainment', 'The Safran Company', 'Dark Trick Films', 'Studio 37', 'Atresmedia', 'Canal+ España']"
"[28, 18, 36]",11645,ja,乱,10.885,1985-09-26,Ran,8.1,600,160.0,11500005.0,11859533.0,tt0089881,0.0,"['Herald Nippon', 'Greenwich Film Production', 'Herald Ace', 'Toho Company, Ltd.']"
"[12, 28, 35, 53]",41135,en,Operation: Endgame,10.799000000000001,2010-07-20,Operation: Endgame,4.9,88,82.0,0.0,0.0,tt1268987,0.0,"['Infinity Films', 'Anchor Bay Films']"
"[35, 12, 10751, 14]",38745,en,Gulliver's Travels,10.767999999999999,2010-12-25,Gulliver's Travels,5.1,1282,85.0,112000000.0,237382724.0,tt1320261,0.0,"['Dune Entertainment', 'Davis Entertainment', 'Dune Entertainment III', '20th Century Fox']"
"[16, 12, 10751, 14]",41216,en,Legend of the Guardians: The Owls of Ga'Hoole,10.754000000000001,2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole,6.6,1223,97.0,80000000.0,140073390.0,tt1219342,0.0,"['Animal Logic', 'Cruel & Unusual Films', 'Village Roadshow Pictures']"
"[28, 35, 10751]",23172,en,The Spy Next Door,10.745999999999999,2010-01-15,The Spy Next Door,5.7,650,94.0,28000000.0,45236543.0,tt1273678,0.0,"['Spy Next Door', 'Relativity Media', 'Robert Simonds Productions', 'Lionsgate']"
"[35, 99, 28]",16290,en,Jackass 3D,10.715,2010-10-15,Jackass 3D,6.3,655,94.0,20000000.0,117224271.0,tt1116184,0.0,"['MTV Films', 'Dickhouse Productions', 'Film Roman', 'Paramount']"
[18],13078,en,The Babysitters,10.71,2008-05-09,The Babysitters,5.3,125,88.0,0.0,44852.0,tt0796302,0.0,"['Upload Films', 'Forensic Films', 'O.D.D. Entertainment', 'Rebel Films']"
"[28, 53, 80]",15357,fr,Banlieue 13 - Ultimatum,10.661,2010-02-05,District 13: Ultimatum,6.1,555,101.0,15000000.0,8786375.0,tt1247640,0.0,"['CinéCinéma', 'TF1 International', 'Sofica Europacorp', 'EuropaCorp', 'Canal+', 'CiBy 2000']"
